2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance transportation 10 9 log
presolving:
(round 1, fast)       100 del vars, 100 del conss, 0 add conss, 100 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 100 deleted vars, 100 deleted constraints, 0 added constraints, 100 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 200 variables (0 bin, 0 int, 0 impl, 200 cont) and 120 constraints
     20 constraints of type <linear>
    100 constraints of type <nonlinear>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  4.5s|  3200 |  3001 | 26740 |   8.2 |    14M |  39 | 400 | 122 | 241 |5863 |  5 |   2 |   0 | 4.627038e+02 | 5.203296e+02 |  12.45%|  72.02%
  4.6s|  3300 |  3083 | 27641 |   8.2 |    15M |  39 | 400 | 122 | 240 |6069 |  5 |   2 |   0 | 4.633071e+02 | 5.203296e+02 |  12.31%|  72.12%
  4.7s|  3400 |  3173 | 28447 |   8.2 |    15M |  39 | 400 | 122 | 237 |6262 |  2 |   2 |   0 | 4.636509e+02 | 5.203296e+02 |  12.22%|  72.17%
  4.8s|  3500 |  3263 | 29277 |   8.2 |    15M |  39 | 400 | 122 | 241 |6459 |  2 |   2 |   0 | 4.638728e+02 | 5.203296e+02 |  12.17%|  72.22%
  4.9s|  3600 |  3347 | 30126 |   8.2 |    15M |  41 | 400 | 122 | 240 |6647 |  3 |   2 |   0 | 4.640849e+02 | 5.203296e+02 |  12.12%|  72.26%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  5.0s|  3700 |  3415 | 30969 |   8.2 |    16M |  41 | 400 | 122 | 240 |6818 |  5 |   2 |   0 | 4.642804e+02 | 5.203296e+02 |  12.07%|  72.34%
  5.1s|  3800 |  3491 | 31782 |   8.2 |    16M |  41 | 400 | 122 | 233 |6994 |  3 |   2 |   0 | 4.643844e+02 | 5.203296e+02 |  12.05%|  72.46%
  5.2s|  3900 |  3557 | 32653 |   8.2 |    17M |  41 | 400 | 122 | 239 |7195 |  5 |   2 |   0 | 4.645163e+02 | 5.203296e+02 |  12.02%|  72.50%
  5.4s|  4000 |  3625 | 33512 |   8.3 |    17M |  41 | 400 | 122 | 243 |7363 |  5 |   2 |   0 | 4.647757e+02 | 5.203296e+02 |  11.95%|  72.57%
  5.5s|  4100 |  3691 | 34377 |   8.3 |    18M |  41 | 400 | 122 | 242 |7546 |  1 |   2 |   0 | 4.649435e+02 | 5.203296e+02 |  11.91%|  72.61%
  5.6s|  4200 |  3765 | 35339 |   8.3 |    18M |  41 | 400 | 122 | 235 |7752 |  5 |   2 |   0 | 4.649647e+02 | 5.203296e+02 |  11.91%|  72.63%
  5.7s|  4300 |  3841 | 36206 |   8.3 |    18M |  41 | 400 | 122 | 238 |7943 |  2 |   2 |   0 | 4.649647e+02 | 5.203296e+02 |  11.91%|  72.63%
