solving instance mcf nodes c40 3 6 log
presolving:
(round 1, fast)       248 del vars, 248 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       476 del vars, 248 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, fast)       476 del vars, 248 del conss, 0 add conss, 20 chg bounds, 228 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.4s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.5s) no symmetry present (symcode time: 0.02)
presolving (4 rounds: 4 fast, 1 medium, 1 exhaustive):
 476 deleted vars, 248 deleted constraints, 0 added constraints, 20 tightened bounds, 0 added holes, 228 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 45640 variables (0 bin, 0 int, 0 impl, 45640 cont) and 4268 constraints
   4248 constraints of type <linear>
     20 constraints of type <nonlinear>
Presolving Time: 0.42

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 1218s|  4200 |  4198 |  1135k| 263.9 |   306M |  18 |  45k|4268 |4302 |4232 |  2 |   1 |   0 | 9.957805e+03 | 1.424227e+04 |  43.03%| unknown
 1239s|  4300 |  4298 |  1162k| 264.1 |   306M |  18 |  45k|4268 |4299 |4332 |  2 |   1 |   0 | 1.000662e+04 | 1.424227e+04 |  42.33%| unknown
 1259s|  4400 |  4398 |  1190k| 264.4 |   308M |  18 |  45k|4268 |4300 |4432 |  2 |   1 |   0 | 1.000996e+04 | 1.424227e+04 |  42.28%| unknown
 1280s|  4500 |  4496 |  1218k| 264.7 |   309M |  18 |  45k|4268 |4302 |4538 |  2 |   2 |   0 | 1.002138e+04 | 1.424227e+04 |  42.12%| unknown
 1300s|  4600 |  4596 |  1244k| 264.6 |   309M |  18 |  45k|4268 |4302 |4655 |  2 |   2 |   0 | 1.002138e+04 | 1.424227e+04 |  42.12%| unknown
 1318s|  4700 |  4696 |  1267k| 263.9 |   310M |  18 |  45k|4268 |4299 |4771 |  2 |   2 |   0 | 1.003005e+04 | 1.424227e+04 |  42.00%| unknown
 1339s|  4800 |  4796 |  1296k| 264.4 |   311M |  18 |  45k|4268 |4300 |4887 |  2 |   2 |   0 | 1.004025e+04 | 1.424227e+04 |  41.85%| unknown
 1357s|  4900 |  4896 |  1319k| 263.8 |   312M |  18 |  45k|4268 |4302 |5003 |  2 |   2 |   0 | 1.005021e+04 | 1.424227e+04 |  41.71%| unknown
 1379s|  5000 |  4996 |  1347k| 264.1 |   313M |  18 |  45k|4268 |4301 |5118 |  2 |   2 |   0 | 1.006974e+04 | 1.424227e+04 |  41.44%| unknown
 1398s|  5100 |  5096 |  1372k| 263.8 |   314M |  18 |  45k|4268 |4299 |5235 |  2 |   2 |   0 | 1.007795e+04 | 1.424227e+04 |  41.32%| unknown
 1418s|  5200 |  5196 |  1401k| 264.2 |   316M |  18 |  45k|4268 |4301 |5346 |  2 |   2 |   0 | 1.009984e+04 | 1.424227e+04 |  41.01%| unknown
 1442s|  5300 |  5296 |  1433k| 265.3 |   317M |  18 |  45k|4268 |4305 |5461 |  2 |   2 |   0 | 1.011475e+04 | 1.424227e+04 |  40.81%| unknown
 1459s|  5400 |  5396 |  1456k| 264.7 |   318M |  18 |  45k|4268 |4300 |5574 |  1 |   2 |   0 | 1.013137e+04 | 1.424227e+04 |  40.58%| unknown
 1479s|  5500 |  5496 |  1483k| 264.7 |   319M |  18 |  45k|4268 |4298 |5688 |  2 |   2 |   0 | 1.013137e+04 | 1.424227e+04 |  40.58%| unknown
 1496s|  5600 |  5596 |  1505k| 264.0 |   320M |  18 |  45k|4268 |4305 |5799 |  2 |   2 |   0 | 1.013389e+04 | 1.424227e+04 |  40.54%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 1513s|  5700 |  5696 |  1528k| 263.3 |   320M |  18 |  45k|4268 |4303 |5914 |  2 |   2 |   0 | 1.014483e+04 | 1.424227e+04 |  40.39%| unknown
 1532s|  5800 |  5796 |  1553k| 263.2 |   321M |  18 |  45k|4268 |4299 |6028 |  2 |   2 |   0 | 1.015079e+04 | 1.424227e+04 |  40.31%| unknown
 1554s|  5900 |  5896 |  1586k| 264.3 |   321M |  18 |  45k|4268 |4305 |6145 |  2 |   2 |   0 | 1.017017e+04 | 1.424227e+04 |  40.04%| unknown
 1575s|  6000 |  5996 |  1615k| 264.7 |   323M |  18 |  45k|4268 |4304 |6259 |  2 |   2 |   0 | 1.017036e+04 | 1.424227e+04 |  40.04%| unknown
 1703s|  6100 |  6096 |  1642k| 264.9 |   324M |  19 |  45k|4268 |4305 |6372 |  2 |   2 |   0 | 1.017861e+04 | 1.424227e+04 |  39.92%| unknown
 1723s|  6200 |  6196 |  1670k| 265.0 |   324M |  19 |  45k|4268 |4303 |6491 |  2 |   2 |   0 | 1.018998e+04 | 1.424227e+04 |  39.77%| unknown
 1744s|  6300 |  6296 |  1698k| 265.4 |   325M |  19 |  45k|4268 |4304 |6604 |  2 |   2 |   0 | 1.019294e+04 | 1.424227e+04 |  39.73%| unknown
 1763s|  6400 |  6396 |  1726k| 265.6 |   326M |  19 |  45k|4268 |4302 |6713 |  2 |   2 |   0 | 1.020904e+04 | 1.424227e+04 |  39.51%| unknown
 1782s|  6500 |  6496 |  1751k| 265.2 |   326M |  19 |  45k|4268 |4304 |6826 |  2 |   2 |   0 | 1.022629e+04 | 1.424227e+04 |  39.27%| unknown
 1805s|  6600 |  6596 |  1782k| 266.0 |   328M |  19 |  45k|4268 |4306 |6940 |  2 |   2 |   0 | 1.022972e+04 | 1.424227e+04 |  39.22%| unknown
 1824s|  6700 |  6696 |  1808k| 265.9 |   328M |  19 |  45k|4268 |4302 |7058 |  2 |   2 |   0 | 1.023776e+04 | 1.424227e+04 |  39.12%| unknown
 1844s|  6800 |  6796 |  1834k| 265.7 |   330M |  19 |  45k|4268 |4305 |7172 |  2 |   2 |   0 | 1.024866e+04 | 1.424227e+04 |  38.97%| unknown
 1863s|  6900 |  6896 |  1859k| 265.5 |   331M |  19 |  45k|4268 |4304 |7289 |  2 |   2 |   0 | 1.025455e+04 | 1.424227e+04 |  38.89%| unknown
 1884s|  7000 |  6996 |  1888k| 265.9 |   331M |  19 |  45k|4268 |4301 |7403 |  2 |   2 |   0 | 1.026931e+04 | 1.424227e+04 |  38.69%| unknown
 1906s|  7100 |  7096 |  1916k| 266.2 |   332M |  19 |  45k|4268 |4304 |7516 |  2 |   2 |   0 | 1.028438e+04 | 1.424227e+04 |  38.48%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 1926s|  7200 |  7196 |  1946k| 266.6 |   333M |  19 |  45k|4268 |4300 |7630 |  2 |   2 |   0 | 1.029666e+04 | 1.424227e+04 |  38.32%| unknown
 1946s|  7300 |  7296 |  1974k| 266.7 |   333M |  19 |  45k|4268 |4302 |7740 |  2 |   2 |   0 | 1.029666e+04 | 1.424227e+04 |  38.32%| unknown
 1968s|  7400 |  7396 |  2004k| 267.2 |   334M |  19 |  45k|4268 |4299 |7852 |  2 |   2 |   0 | 1.030430e+04 | 1.424227e+04 |  38.22%| unknown
 1989s|  7500 |  7496 |  2033k| 267.5 |   334M |  19 |  45k|4268 |4302 |7966 |  2 |   2 |   0 | 1.031324e+04 | 1.424227e+04 |  38.10%| unknown
 2011s|  7600 |  7596 |  2062k| 267.9 |   335M |  19 |  45k|4268 |4300 |8080 |  2 |   2 |   0 | 1.031959e+04 | 1.424227e+04 |  38.01%| unknown
 2031s|  7700 |  7696 |  2089k| 267.8 |   337M |  19 |  45k|4268 |4306 |8195 |  2 |   2 |   0 | 1.033014e+04 | 1.424227e+04 |  37.87%| unknown
 2050s|  7800 |  7796 |  2114k| 267.6 |   337M |  19 |  45k|4268 |4301 |8303 |  2 |   2 |   0 | 1.033014e+04 | 1.424227e+04 |  37.87%| unknown
 2078s|  7900 |  7896 |  2152k| 269.0 |   338M |  19 |  45k|4268 |4301 |8419 |  2 |   2 |   0 | 1.033014e+04 | 1.424227e+04 |  37.87%| unknown
 2099s|  8000 |  7996 |  2179k| 269.1 |   339M |  19 |  45k|4268 |4305 |8530 |  2 |   2 |   0 | 1.035794e+04 | 1.424227e+04 |  37.50%| unknown
 2125s|  8100 |  8096 |  2214k| 270.1 |   340M |  19 |  45k|4268 |4300 |8643 |  2 |   2 |   0 | 1.036899e+04 | 1.424227e+04 |  37.35%| unknown
 2145s|  8200 |  8196 |  2241k| 270.0 |   341M |  19 |  45k|4268 |4304 |8753 |  2 |   2 |   0 | 1.036899e+04 | 1.424227e+04 |  37.35%| unknown
 2165s|  8300 |  8296 |  2268k| 270.0 |   342M |  19 |  45k|4268 |4304 |8863 |  2 |   2 |   0 | 1.038207e+04 | 1.424227e+04 |  37.18%| unknown
 2190s|  8400 |  8396 |  2306k| 271.3 |   344M |  19 |  45k|4268 |4305 |8974 |  2 |   2 |   0 | 1.040417e+04 | 1.424227e+04 |  36.89%| unknown
 2210s|  8500 |  8496 |  2332k| 271.2 |   345M |  19 |  45k|4268 |4302 |9086 |  2 |   2 |   0 | 1.040897e+04 | 1.424227e+04 |  36.83%| unknown
 2229s|  8600 |  8596 |  2358k| 271.1 |   345M |  19 |  45k|4268 |4302 |9198 |  2 |   2 |   0 | 1.040897e+04 | 1.424227e+04 |  36.83%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 2253s|  8700 |  8696 |  2392k| 271.9 |   346M |  19 |  45k|4268 |4305 |9306 |  2 |   2 |   0 | 1.041121e+04 | 1.424227e+04 |  36.80%| unknown
 2275s|  8800 |  8796 |  2423k| 272.3 |   347M |  19 |  45k|4268 |4305 |9414 |  2 |   2 |   0 | 1.042323e+04 | 1.424227e+04 |  36.64%| unknown
 2296s|  8900 |  8896 |  2451k| 272.4 |   347M |  19 |  45k|4268 |4303 |9524 |  2 |   2 |   0 | 1.042688e+04 | 1.424227e+04 |  36.59%| unknown
