solving instance knapsack 200 8 sincos
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       200 del vars, 400 del conss, 0 add conss, 200 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       200 del vars, 400 del conss, 0 add conss, 400 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 200 deleted vars, 400 deleted constraints, 0 added constraints, 400 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 400 variables (0 bin, 0 int, 0 impl, 400 cont) and 201 constraints
      1 constraints of type <linear>
    200 constraints of type <nonlinear>
Presolving Time: 0.03

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 80.5s|  3300 |  3301 | 82008 |  24.4 |    47M |  29 |1400 | 201 |1098 |  55k|  7 |   0 |   0 |-7.275901e+03 |-6.494132e+03 |  12.04%| unknown
 82.8s|  3400 |  3401 | 84498 |  24.4 |    47M |  29 |1400 | 201 |1112 |  57k| 10 |   0 |   0 |-7.275901e+03 |-6.494132e+03 |  12.04%| unknown
 85.0s|  3500 |  3501 | 86872 |  24.4 |    49M |  29 |1400 | 201 |1072 |  58k|  6 |   0 |   0 |-7.275688e+03 |-6.494132e+03 |  12.03%| unknown
 87.5s|  3600 |  3601 | 90016 |  24.6 |    50M |  29 |1400 | 201 |1083 |  60k|  3 |   0 |   0 |-7.275391e+03 |-6.494132e+03 |  12.03%| unknown
 89.8s|  3700 |  3701 | 92300 |  24.5 |    51M |  29 |1400 | 201 |1135 |  62k|  6 |   0 |   0 |-7.275349e+03 |-6.494132e+03 |  12.03%| unknown
 92.1s|  3800 |  3801 | 95004 |  24.6 |    52M |  29 |1400 | 201 |1115 |  64k|  3 |   0 |   0 |-7.274970e+03 |-6.494132e+03 |  12.02%| unknown
 94.5s|  3900 |  3901 | 97844 |  24.7 |    52M |  29 |1400 | 201 |1137 |  66k|  7 |   0 |   0 |-7.273832e+03 |-6.494132e+03 |  12.01%| unknown
 96.7s|  4000 |  4001 |100416 |  24.7 |    52M |  29 |1400 | 201 |1134 |  67k|  6 |   0 |   0 |-7.273832e+03 |-6.494132e+03 |  12.01%| unknown
 98.9s|  4100 |  4101 |102782 |  24.7 |    53M |  29 |1400 | 201 |1149 |  69k|  8 |   0 |   0 |-7.272652e+03 |-6.494132e+03 |  11.99%| unknown
  101s|  4200 |  4201 |105598 |  24.8 |    53M |  29 |1400 | 201 |1098 |  71k|  3 |   0 |   0 |-7.272313e+03 |-6.494132e+03 |  11.98%| unknown
